step,train_acts_billions,train_loss
22855,0.093614,1.0249
22879,0.093712,1.0377
22903,0.093811,1.0246
22927,0.093909,1.0277
22950,0.094003,1.0162
22974,0.094102,1.0273
22997,0.094196,1.029
23020,0.09429,1.0295
23043,0.094384,1.0295
23066,0.094478,1.0398
23089,0.094573,1.026
23113,0.094671,1.0213
23138,0.094773,1.0362
23162,0.094872,1.0178
23186,0.09497,1.0158
23209,0.095064,1.0304
23232,0.095158,1.0327
23255,0.095252,1.0306
23279,0.095351,1.0269
23302,0.095445,1.0288
23326,0.095543,1.0148
23349,0.095638,1.0264
23372,0.095732,1.0307
23396,0.09583,1.0305
23420,0.095928,1.0281
23436,0.095994,1.0336
23444,0.096027,1.0252
23468,0.096125,1.0333
23492,0.096223,1.0254
23517,0.096326,1.0286
23540,0.09642,1.0306
23564,0.096518,1.0277
23588,0.096616,1.0358
23612,0.096715,1.0201
23634,0.096805,1.0298
23658,0.096903,1.0236
23683,0.097006,1.0234
23706,0.0971,1.0269
23730,0.097198,1.0211
23754,0.097296,1.0188
23777,0.097391,1.0217
23801,0.097489,1.0266
23824,0.097583,1.0193
23848,0.097681,1.0383
23873,0.097784,1.0246
23896,0.097878,1.0269
23920,0.097976,1.0284
23944,0.098075,1.0382
23967,0.098169,1.022
23991,0.098267,1.0085
24014,0.098361,1.0182
24038,0.09846,1.0284
24062,0.098558,1.024
24086,0.098656,1.0242
24109,0.09875,1.0197
24131,0.098841,1.0308
24155,0.098939,1.0251
24179,0.099037,1.0329
24203,0.099135,1.0203
24227,0.099234,1.0227
24251,0.099332,1.022
24274,0.099426,1.0182
24297,0.099521,1.0214
24321,0.099619,1.0489
24344,0.099713,1.0212
24369,0.099815,1.0128
24393,0.099914,1.0256
24417,0.100012,1.0158
24440,0.100106,1.0307
24464,0.100205,1.0153
24487,0.100299,1.0296
24511,0.100397,1.0166
24535,0.100495,1.026
24559,0.100594,1.0264
24582,0.100688,1.0245
24606,0.100786,1.0228
24630,0.100884,1.0257
24654,0.100983,1.0212
24677,0.101077,1.0204
24701,0.101175,1.0219
24725,0.101274,1.0261
24748,0.101368,1.0147
24772,0.101466,1.0154
24796,0.101564,1.036
24820,0.101663,1.0278
24844,0.101761,1.0268
24868,0.101859,1.0163
24892,0.101958,1.0225
24916,0.102056,1.0214
24940,0.102154,1.0246
24964,0.102253,1.0345
24988,0.102351,1.029
25011,0.102445,1.0285
25036,0.102547,1.0186
25059,0.102642,1.0277
25083,0.10274,1.0233
25107,0.102838,1.023
25131,0.102937,1.0352
25155,0.103035,1.0221
25179,0.103133,1.0256
25202,0.103227,1.0232
25225,0.103322,1.0221
25249,0.10342,1.0259
25272,0.103514,1.0268
25296,0.103612,1.0298
25320,0.103711,1.0309
25344,0.103809,1.0188
25368,0.103907,1.0251
25391,0.104002,1.0268
25415,0.1041,1.0221
25438,0.104194,1.0223
25462,0.104292,1.015
25487,0.104395,1.0219
25510,0.104489,1.0216
25534,0.104587,1.0141
